"potenzacv"	"accel"
"alfa-romeo 159-berlina 159-20-jtdm-136-cv-progression"	136	9,9
"alfa-romeo 159-station 159-20-jtdm-136-cv-sw-progression"	136	10,1
"alfa-romeo 159-station 159-20-jtdm-sw-progression"	170	9
"alfa-romeo giulietta giulietta-14-turbo-105-cv"	105	10,6
"alfa-romeo giulietta giulietta-14-turbo-120-cv"	120	9,4
"alfa-romeo giulietta giulietta-14-turbo-120-cv-gpl"	120	10,3
"alfa-romeo giulietta giulietta-14-turbo-multiair-progression"	170	7,8
"alfa-romeo giulietta giulietta-14-turbo-multiair-tct-prog"	170	7,7
"alfa-romeo giulietta giulietta-16-jtdm-2-105-cv"	105	11,3
"alfa-romeo giulietta giulietta-1750-tbi-quadrifoglio-verde"	235	6,8
"alfa-romeo giulietta giulietta-20-jtdm-2-140-cv-progression"	140	9
"alfa-romeo mito mito-13-jtdm-2-95-cv-s&s-progression"	95	11,6
"alfa-romeo mito mito-13-jtdm-85-cv-s&s-progression"	85	12,9
"alfa-romeo mito mito-14-105-cv-mair-s&s-progression"	105	10,7
"alfa-romeo mito mito-14-70-cv-8v-progression"	70	12,3
"alfa-romeo mito mito-14-78-cv-8v-s&s-upload"	77	12,3
"alfa-romeo mito mito-14-t-135-cv-mair-s&s-distinctive"	135	8,4
"alfa-romeo mito mito-14-t-170-cv-mair-s&s-qverde"	170	7,5
"alfa-romeo mito mito-16-jtdm-2-s&s-distinctive"	120	9,9
"audi a1 a1-12-tfsi-attraction"	86	11,7
"audi a1 a1-14-tfsi-185-cv-s-tronic-ambition"	185	6,9
"audi a1 a1-14-tfsi-attraction"	122	8,9
"audi a1 a1-16-tdi-attraction"	90	11,4
"audi a4-berlina a4-18-tfsi-120-cv"	120	10,5
"audi a4-berlina a4-20-tdie-136-cv"	136	9,3
"audi a4-berlina a4-20-tdie-163-cv"	163	8,4
"audi a6-berlina a6-20-tdi"	177	8,7
"audi a6-berlina a6-20-tfsi"	180	8,1
"audi a6-berlina a6-20-tfsi-hybrid-tiptronic-ambiente"	245	7,5
"audi a6-berlina a6-30-tdi-313-cv-quattro-tiptronic"	313	5,1
"audi a6-berlina a6-30-tfsi-quattro-s-tronic"	310	5,5
"audi a6-berlina s6-40-tfsi-quattro-s-tronic"	420	4,6
"audi nuova-a3 a3-14-tfsi-young"	122	9,3
"audi nuova-a3 a3-16-tdi-young"	105	10,7
"audi nuova-a3 a3-18-tfsi-s-tronic-attraction"	180	7,2
"audi nuova-a3 a3-20-tdi-attraction"	150	8,6
"bentley mulsanne mulsanne"	513	11,6
"bmw serie-3-berlina active-hybrid-3"	340	5,3
"bmw serie-5-berlina 520d"	184	8,1
"bmw serie-5-berlina 520i"	184	7,9
"bmw serie-5-berlina 525d"	218	7
"bmw serie-5-berlina active-hybrid-5"	340	5,9
"bmw serie-5-berlina m5"	560	4,3
"bmw serie-7 740i-eletta"	320	5,7
"bmw serie-7 750li-xdrive-eletta"	449	4,8
"bmw x6 active-hybrid-x6"	485	5,6
"bmw x6 x6-xdrive30d-eletta"	245	7,5
"bmw x6 x6-xdrive35i-eletta"	306	6,7
"bmw x6 x6-xdrive40d-eletta"	306	6,5
"bmw x6 x6-xdrive50i"	408	5,4
"cadillac escalade escalade-60-v8-aut-sport-luxury-hybrid"	337	8,4
"chevrolet volt volt"	151	9
"citroen c1 c1-10-3p-attraction"	68	13,7
"citroen c1 c1-10-5p-attraction"	68	13,7
"citroen c3 c3-11-attraction"	60	16,5
"citroen c3 c3-14-hdi-70-attraction"	68	13,5
"citroen c3 c3-14-vti-95-seduction"	95	10,6
"citroen c3 c3-16-e-hdi-90-airdream-cmp6-exclusive"	92	12,9
"citroen c4 c4-14-vti-95-attraction"	95	13,2
"citroen c4 c4-16-hdi-90-attraction"	92	14,4
"citroen c4 c4-16-thp-155-cmp-6-exclusive"	156	8,7
"citroen c4 c4-20-hdi-150-seduction"	150	9,4
"citroen c5-berlina c5-16-hdi-115-seduction"	114	13,4
"citroen c5-berlina c5-16-vti-120-cmp6-seduction-2012-6"	120	12,2
"citroen c5-berlina c5-22-hdi-200-aut-exclusive-2011-2"	204	8,3
"citroen c5-berlina c5-30-hdi-240-aut-exclusive-2012-6"	241	7,9
"citroen c6 c6-30-v6-hdi-240-aut-exclusive-2012-3"	241	8,5
"citroen ds5 ds5-hybrid4-airdream-chic"	200	8,6
"corvette corvette-spider corvette-c6-62-v8-convertibile-gs"	436	4,3
"ferrari california california-dct"	490	3,8
"ferrari f12 f12-berlinetta-dct"	740	3,1
"fiat nuova-panda panda-09-twinair-turbo-s&s-easy"	85	11,2
"fiat nuova-panda panda-12-pop"	69	14,2
"fiat nuova-panda panda-13-mjt-s&s-pop"	75	12,8
"fiat punto punto-09-twinair-turbo-s&s-3p-twinair"	84	11,7
"fiat punto punto-12-8v-3p-pop"	69	14,4
"fiat punto punto-13-mjt-ii-75-cv-3p-pop"	75	13,6
"fiat punto punto-13-mjt-ii-75-cv-3p-virgin-radio"	75	13,6
"ford fiesta fiesta-12-60-cv-5p-titanium"	60	16,9
"ford fiesta fiesta-16-16v-134-cv-3p-individual"	134	8,7
"ford fiesta fiesta-ikon-12-16v-60-cv-3p"	60	16,9
"ford fiesta fiesta-ikon-14-tdci-70-cv-3p"	70	14,9
"ford fiesta fiesta-ikon-14-tdci-70-cv-5p"	70	14,9
"ford focus-berlina focus-10-100cv-ecoboost-5p-s&s"	100	12,5
"ford focus-berlina focus-16-180-cv-ecoboost-5p-s&s-ind"	182	7,9
"ford focus-berlina focus-16-tdci-95-cv-5p"	95	12,5
"ford focus-berlina focus-20-250-cv-ecoboost-5p-st"	250	6,5
"ford focus-berlina focus-20-tdci-163-cv-5p-individual"	163	8,6
"honda cr-z cr-z-15-i-vtec-s"	124	9,9
"lamborghini aventador aventador-65-v12-lp700-4"	700	2,9
"lamborghini gallardo-spider gallardo-52-v10-lp550-2-spyder"	550	4,2
"lexus ct ct-200h"	136	10,3
"lexus ls ls-460"	381	5,7
"lexus ls ls-600h"	445	6,3
"lexus rx rx-350"	277	8
"lexus rx rx-450h"	299	7,8
"mazda mazda2 mazda2-13-75-cv-3p-start"	75	14,9
"mazda mazda2 mazda2-13-75-cv-5p-start"	75	14,9
"mazda mazda2 mazda2-15-102-cv-3p-sporty"	102	10,7
"mazda mazda2 mazda2-15-102-cv-5p-sporty"	102	10,7
"mazda mazda3-4p mazda3-16-mz-cd-115-cv-4p-active"	116	12
"mazda mazda3-4p mazda3-16-mzr-105-cv-4p-active"	105	12,2
"mazda mazda3-5p mazda3-16-mzr-105-cv-5p"	105	12,2
"mclaren mp4 mp4-12c"	600	3,3
"mercedes cl cl-500-blueefficiency-sport"	435	4,9
"mercedes cl cl-65-amg-performance"	629	4,4
"mercedes classe-a a-180-blueefficiency-executive"	122	9,2
"mercedes classe-a a-180-cdi-blueefficiency-executive"	109	11,3
"mercedes classe-e-berlina e-200-blueefficiency-executive"	184	8,5
"mercedes classe-e-berlina e-350-bluetec-executive"	211	7,8
"mercedes classe-e-berlina e-350-cdi-blueefficiency-executive"	265	6,2
"mercedes classe-e-berlina e-500-blueefficiency-elegance"	408	5,4
"mercedes classe-e-berlina e-bluetec-hybrid-executive"	224	7,5
"mercedes classe-s s-250-cdi-biturbo-elegance"	204	8,2
"mercedes classe-s s-350-blueefficiency-elegance"	306	6,9
"mercedes classe-s s-350-bluetec-grand-edition"	258	7,1
"mercedes classe-s s-600-avantgarde-lunga"	517	4,6
"mercedes classe-s s-65-amg-performance-lunga"	629	4,4
"mercedes cls cls-350-blueefficiency"	306	6,1
"mercedes cls cls-500-blueefficiency"	408	5,2
"mercedes cls cls-63-amg"	525	4,4
"mercedes cls cls-63-amg-performance"	557	4,4
"opel ampera ampera-e-rev"	151	9
"peugeot 107 107-10-68-cv-3p-access"	68	13,7
"peugeot 107 107-10-68-cv-5p-access"	68	13,7
"peugeot 206-plus 206-plus-11-60-cv-3p-energie"	60	16,1
"peugeot 206-plus 206-plus-14-hdi-70-cv-3p-energie"	68	13,8
"peugeot 206-plus 206-plus-14-hdi-70-cv-5p-energie"	68	13,8
"peugeot 3008 3008-hybrid4-99g"	200	8,5
"peugeot 308-berlina 308-14-vti-98-cv-5p-access"	98	14,3
"peugeot 308-berlina 308-16-8v-e-hdi-112-cv-s&s-5p-access"	112	11,4
"peugeot 308-berlina 308-16-8v-hdi-93-cv-5p-access"	92	12,4
"peugeot 308-berlina 308-16-thp-200-cv-5p-gti"	200	7,7
"peugeot 308-berlina 308-16-vti-120-cv-5p-access"	120	10,8
"peugeot 308-berlina 308-20-hdi-163-cv-5p-aut-sport"	163	9,6
"peugeot 508-berlina 508-16-8v-hdi-115-cv-access"	115	11,3
"peugeot 508-berlina 508-16-thp-156-cv-active"	156	8,6
"peugeot 508-berlina 508-16-vti-120-cv-ca-robot-access"	120	11,5
"peugeot 508-berlina 508-22-hdi-204-cv-aut-gt"	204	8,2
"peugeot 508-berlina 508-hybrid4-allure"	200	8,6
"porsche 911 911-carrera-coupe"	350	4,8
"porsche  918------310"	218	3
"porsche cayenne cayenne-s-hybrid"	380	6,5
"porsche cayenne cayenne-turbo"	500	4,7
"rolls-royce phantom-berlina phantom"	460	5,9
"rolls-royce phantom-berlina phantom-ewb"	460	5,9
"rolls-royce phantom-cc phantom-drophead-coupe"	460	5,9
"skoda fabia-berlina fabia-12-6v-60-cv-5p-active"	60	16,5
"skoda octavia-berlina octavia-12-tsi-active"	105	10,8
"skoda octavia-berlina octavia-14-tsi-ambition"	122	9,7
"skoda octavia-berlina octavia-16-tdi-cr-active"	105	11,8
"skoda octavia-berlina octavia-18-tfsi-elegance"	160	7,8
"skoda octavia-berlina octavia-20-tdi-cr-rs"	170	8,4
"skoda octavia-berlina octavia-20-tfsi-rs"	200	7,3
"smart fortwo-coupe fortwo-1000-45-kw-mhd-coupe-pure"	61	16,8
"smart fortwo-coupe fortwo-1000-75-kw-coupe-brabus"	102	8,9
"smart fortwo-coupe fortwo-800-40-kw-coupe-pure-cdi"	54	16,8
"tata aria aria-22-16v-prestige"	150	15
"tata vista vista-14-safire-5p"	75	12
"toyota auris auris-13-5p"	99	13,1
"toyota auris auris-18-hybrid-5p"	136	11,4
"toyota avensis-berlina avensis-18-lounge"	147	9,4
"toyota avensis-berlina avensis-20-d-4d-lounge"	124	9,7
"toyota avensis-berlina avensis-22-d-4d-lounge"	150	8,9
"toyota avensis-station avensis-18-wagon-lounge"	147	9,7
"toyota avensis-station avensis-20-d-4d-wagon-lounge"	124	10
"toyota avensis-station avensis-22-d-4d-wagon-lounge"	150	9,2
"toyota land-cruiser-5p land-cruiser-30-d4-d-5p"	190	12,4
"toyota land-cruiser-v8 land-cruiser-v8-45-at-7-posti-lounge"	272	8,9
"toyota prius-5-posti prius-18-active"	136	10,4
"toyota prius-7-posti prius-18-active"	136	11,3
"toyota rav4 rav4-20-multidrives-lounge"	158	11
"toyota rav4 rav4-22-d-4d-150-cv"	150	10,2
"toyota rav4 rav4-crossport-20-lounge"	158	10,2
"toyota yaris yaris-10-3p"	69	15,3
"toyota yaris yaris-10-5p"	69	15,3
"toyota yaris yaris-13-3p-active"	99	11,7
"toyota yaris yaris-14-d-4d-3p"	90	10,8
"toyota yaris yaris-15-hybrid-5p-lounge"	100	11,8
"volkswagen golf-berlina golf-12-tsi-3p-trendline"	105	10,6
"volkswagen golf-berlina golf-14-tsi-122-cv-3p-highline"	122	9,5
"volkswagen golf-berlina golf-16-tdi-5p-united"	105	11,3
"volkswagen golf-berlina golf-16-tdi-dpf-dsg-3p-highline"	105	11,2
"volkswagen golf-berlina golf-20-tdi-170-cv-3p-gtd"	170	8,1
"volkswagen golf-berlina golf-20-tsi-3p-gti"	210	6,9
"volkswagen passat-berlina passat-14-tsi-trendline-bluem-tech"	122	10,3
"volkswagen passat-berlina passat-20-tdi-comfortline-bluemtech"	140	9,8
"volkswagen touareg touareg-30-v6-tdi-245-cv-tip-bmt"	245	7,6
"volkswagen touareg touareg-30-v6-tsi-tiptronic-hybrid"	380	6,5
