"","Anno","Atleta","Risultato"
"1",1896,"Tom Burke",12
"5",1900,"Frank Jarvis",11
"8",1904,"Archie Hahn",11
"11",1906,"Archie Hahn",11.2
"14",1908,"Reggie Walker",10.8
"17",1912,"Ralph Craig",10.8
"20",1920,"Charles Paddock",10.8
"23",1924,"Harold Abrahams",10.6
"26",1928,"Percy Williams",10.8
"29",1932,"Eddie Tolan",10.3
"32",1936,"Jesse Owens",10.3
"35",1948,"Harrison Dillard",10.3
"38",1952,"Lindy Remigino",10.4
"41",1956,"Bobby Morrow",10.5
"44",1960,"Armin Hary",10.2
"47",1964,"Bob Hayes",10
"50",1968,"Jim Hines",9.95
"53",1972,"Valery Borzov",10.14
"56",1976,"Hasely Crawford",10.06
"59",1980,"Allan Wells",10.25
"62",1984,"Carl Lewis",9.99
"65",1988,"Carl Lewis",9.92
"68",1992,"Linford Christie",9.96
"71",1996,"Donovan Bailey",9.84
"74",2000,"Maurice Greene",9.87
"77",2004,"Justin Gatlin",9.85
"80",2008,"Usain Bolt",9.69
