"paese" "cod_paese" "co2" "gdp" "gdppc" "pop"
"1" "Afghanistan" "AFG" 814.074 11940.2961312844 367.1942446062 32.5176560000004
"2" "Albania" "ALB" 4176.713 12968.6535247799 4076.4021355335 3.18139700000001
"3" "Algeria" "DZA" 111304.451 170989.269622037 4966.5717020457 34.428028
"4" "Andorra" "AND" 539.049 3712.03426650674 44952.3991729748 0.082577
"5" "Angola" "AGO" 24370.882 84178.0355794053 4666.7149119161 18.0379639999999
"6" "Antigua and Barbuda" "ATG" 447.374 1354.59664644239 15591.4025672171 0.0868810000000001
"7" "Argentina" "ARG" 192378.154 326676.673164783 8225.6690818199 39.7142980000001
"8" "Armenia" "ARM" 5548.171 11662.0178448868 3787.4921510457 3.07908699999999
"9" "Australia" "AUS" 399218.956 1061583.39830417 49379.4170897583 21.4985
"10" "Austria" "AUT" 67725.823 414173.646317794 49679.4197666855 8.33692599999999
"11" "Azerbaijan" "AZE" 47139.285 48852.4829600779 5574.6038021861 8.76340000000004
"12" "Bahamas, The" "BHS" 2156.196 8246.65 24715.6545116151 0.333661
"13" "Bahrain" "BHR" 22478.71 21902.8925839637 20813.1375167254 1.052359
"14" "Bangladesh" "BGD" 46526.896 79554.3506777438 546.8468539826 145.478300000013
"15" "Barbados" "BRB" 1353.123 3670.2153125 13484.515072746 0.27218
"16" "Belarus" "BLR" 62815.71 60763.4831460674 6328.211117066 9.60199999999995
"17" "Belgium" "BEL" 104879.867 507393.708572893 47375.8158468647 10.709973
"18" "Belize" "BLZ" 425.372 1363.5 4233.1574045328 0.322099999999997
"19" "Benin" "BEN" 4066.703 6682.74491413769 799.7559728647 8.35597999999964
"20" "Bermuda" "BMU" 388.702 6109.928 95170.2180685358 0.0642
"21" "Bhutan" "BTN" 733.4 1257.47874051942 1792.9071543829 0.701362999999981
"22" "Bolivia" "BOL" 12834.5 16675.0157711304 1733.6460690437 9.61846599999995
"23" "Bosnia and Herzegovina" "BIH" 31275.843 18543.2893948472 4913.2177072452 3.77416399999996
"24" "Botswana" "BWA" 4840.44 13443.3912306005 6877.0410966321 1.95482199999999
"25" "Brazil" "BRA" 393219.744 1652817.55909661 8628.9528410581 191.543236999999
"26" "Brunei Darussalam" "BRN" 10593.963 14393.0990685859 37414.3128155706 0.384694999999999
"27" "Bulgaria" "BGR" 50538.594 51824.867626646 6798.1349027102 7.62339499999994
"28" "Burkina Faso" "BFA" 1855.502 8350.62191554454 538.2199841952 15.5152580000002
"29" "Burundi" "BDI" 179.683 1620.69424525526 204.0306802774 7.94338499999983
"30" "Cambodia" "KHM" 4602.085 10351.8290656013 748.9036877171 13.8226440000009
"31" "Cameroon" "CMR" 5302.482 23735.7643038147 1265.3150596385 18.7587779999995
"32" "Canada" "CAN" 544091.125 1502678.43754686 45099.6133672904 33.319098
"33" "Cape Verde" "CPV" 308.028 1561.72712903455 3204.3907598822 0.487371000000001
"34" "Central African Republic" "CAF" 260.357 1982.98385475983 467.9098875048 4.23796100000021
"35" "Chad" "TCD" 495.045 8357.14285714286 784.4311574768 10.6537620000007
"36" "Chile" "CHL" 73108.979 179626.731847523 10694.872866205 16.795593
"37" "China" "CHN" 7031916.207 4521827.28830398 3413.5886614281 1324.65499999998
"38" "Colombia" "COL" 67700.154 244539.677721535 5433.5169139275 45.0057820000002
"39" "Comoros" "COM" 124.678 530.138454667262 760.5632647292 0.697034000000012
"40" "Congo, Dem. Rep." "COD" 2816.256 11675.3303098997 186.8803331101 62.4749009999956
"41" "Congo, Rep." "COG" 1936.176 11859.0151808733 3091.2323391841 3.83633900000004
"42" "Costa Rica" "CRI" 8016.062 29831.1649031148 6596.7153716074 4.52212400000001
"43" "Cote d'Ivoire" "CIV" 7014.971 23414.0052594685 1233.1593525756 18.9870070000001
"44" "Croatia" "HRV" 23303.785 69911.233237787 15767.0801167765 4.434
"45" "Cuba" "CUB" 31418.856 60806.2 5396.8858351073 11.2669050000001
"46" "Cyprus" "CYP" 8555.111 25321.5175040281 31928.396796291 0.793072
"47" "Czech Republic" "CZE" 116995.635 225448.799062683 21627.1615825395 10.424336
"48" "Denmark" "DNK" 46024.517 343881.383958432 62596.4885379665 5.493621
"49" "Djibouti" "DJI" 524.381 982.534421931004 1148.308885941 0.855635999999992
"50" "Dominica" "DMA" 128.345 462.155244500447 6780.5461421155 0.0681589999999995
"51" "Dominican Republic" "DOM" 21616.965 45805.3705318222 4739.3292267917 9.66494800000004
"52" "Ecuador" "ECU" 26824.105 54208.524 3856.407958033 14.0567399999998
"53" "Egypt, Arab Rep." "EGY" 210320.785 162818.181818182 2078.7962965781 78.3232979999996
"54" "El Salvador" "SLV" 6112.889 21431 3496.2970020367 6.12962799999994
"55" "Equatorial Guinea" "GNQ" 4814.771 18423.5945088307 27816.4630293356 0.662326999999998
"56" "Eritrea" "ERI" 414.371 1380.16260162602 278.9604332404 4.94752100000015
"57" "Estonia" "EST" 18290.996 23882.8268942029 17814.0316588308 1.340675
"58" "Ethiopia" "ETH" 7106.646 26642.4615161886 335.3513204439 79.4464189999978
"59" "Faeroe Islands" "FRO" 707.731 2412.85969282674 49650.3836209383 0.048597
"60" "Fiji" "FJI" 1254.114 3589.85445420326 4255.1415860389 0.84365099999999
"61" "Finland" "FIN" 56512.137 271974.219064709 51186.4851603858 5.31339900000001
"62" "France" "FRA" 376985.935 2831794.04548284 43992.0986414796 64.370515
