"BoxOffDomIA" "Anno" "Sequel" "Tipo" "Fonte" "Metodo_Prod" "Genere" "Rating" "Budget"
"Zwartboek 2007" 5.044085 2007 0 "Historical Fiction" "Real Life Events" "Live Action" "Thriller/Suspense" "R" 22
"Zoom 2006" 14.01077 2006 0 "Super Hero" "Comic/Graphic Novel" "Live Action" "Avventura" "PG" 35
"Zoolander 2001" 62.955296 2001 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "PG-13" 28
"Zodiac 2007" 37.936319 2007 0 "Dramatization" "Fiction Source" "Live Action" "Thriller/Suspense" "R" 85
"Zatoichi 2004" 1.084678 2004 0 "Historical Fiction" "Fiction Source" "Live Action" "Azione" "R" NA
"Zathura 2005" 34.520951 2005 1 "Fantasy" "Fiction Source" "Animation/Live Action" "Avventura" "PG" 65
"Zack and Miri Make a Porno 2008" 34.561317 2008 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "R" 24
"Yu-Gi-Oh 2004" 25.10912 2004 0 "Kids Fiction" "TV" "Hand Animation" "Avventura" "PG" 20
"Yours, Mine and Ours 2005" 65.622621 2005 0 "Contemporary Fiction" "Remake" "Live Action" "Commedia" "PG" 45
"Young Black Stallion 2003" 8.661539 2003 0 "Kids Fiction" "Fiction Source" "Live Action" "Avventura" "G" NA
"Young Adam 2004" 0.974802 2004 0 NA NA "Live Action" "Drammatico" "NC-17" NA
"Young @ Heart 2008" 4.386958 2008 0 "Factual" "Real Life Events" "Live Action" "Documentario" "PG" NA
"You, Me and Dupree 2006" 91.100118 2006 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "PG-13" 54
"You Kill Me 2007" 2.783119 2007 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "R" 4
"You Got Served 2004" 50.905743 2004 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Drammatico" "PG-13" 8
"You Don t Mess With the Zohan 2008" 109.909278 2008 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "PG-13" NA
"You Can Count on Me 2000" 13.06367 2000 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Drammatico" "R" 1.2
"Yi Yi 2000" 1.358406 2000 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Drammatico" "Not Rated" NA
"Yes Man 2008" 106.498668 2008 0 "Contemporary Fiction" "Fiction Source" "Live Action" "Commedia" "PG-13" 50
"Year of the Dog 2007" 1.76624 2007 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Drammatico" "PG-13" NA
"Y Tu Mama Tambien (And Your Mother Too) 2002" 18.499178 2002 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Drammatico" "R" 5
"XXX: State of the Union 2005" 32.105175 2005 1 "Contemporary Fiction" "Original Screenplay" "Live Action" "Azione" "PG-13" 60
"xXx 2002" 192.449456 2002 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Azione" "PG-13" 70
"X2 2003" 281.25139 2003 1 NA "Comic/Graphic Novel" "Live Action" "Azione" "PG-13" 125
"X-Men: The Last Stand 2006" 282.308374 2006 1 "Super Hero" "Comic/Graphic Novel" "Live Action" "Azione" "PG-13" 210
"X-Men 2000" 230.25877 2000 0 "Super Hero" "Comic/Graphic Novel" "Live Action" "Azione" "PG-13" 75
"Wrong Turn 2003" 20.173499 2003 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Horror" "R" 10
"World Trade Center 2006" 84.65656 2006 0 "Dramatization" "Real Life Events" "Live Action" "Drammatico" "PG-13" 65
"Wordplay 2006" 3.757755 2006 0 "Factual" "Real Life Events" "Live Action" "Documentario" "PG" 0.5
"Wonderland 2003" 1.381862 2003 0 "Dramatization" "Real Life Events" "Live Action" "Drammatico" "R" 5.5
"Wonder Boys 2000" 28.375407 2000 0 "Contemporary Fiction" "Fiction Source" "Live Action" "Commedia" "R" 35
"Woman Thou Art Loosed 2004" 8.740913 2004 0 "Contemporary Fiction" "Fiction Source" "Live Action" "Drammatico" "R" NA
"Woman on Top 2000" 7.346119 2000 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "R" 8
"Wolf Creek 2005" 19.843965 2005 0 "Dramatization" "Real Life Events" "Live Action" "Horror" "R" 1.1
"Witless Protection 2008" 4.562392 2008 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "PG-13" NA
"Without a Paddle 2004" 73.887657 2004 0 "Contemporary Fiction" "Fiction Source" "Live Action" "Commedia" "PG-13" 30
"With a Friend Like Harry 2001" 5.322894 2001 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Thriller/Suspense" "R" NA
"Winged Migration 2003" 14.081851 2003 0 "Factual" "Real Life Events" "Live Action" "Documentario" "G" 28
"Windtalkers 2002" 55.558405 2002 0 "Historical Fiction" "Original Screenplay" "Live Action" "Azione" "R" 115
"Win a Date with Tad Hamilton! 2004" 21.573745 2004 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "PG-13" 24
"Wimbledon 2004" 21.384953 2004 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "PG-13" 35
"Willard 2003" 9.005717 2003 0 "Contemporary Fiction" "Remake" "Live Action" "Horror" "PG-13" 20
"Wild Safari 3D 2005" 19.946622 2005 0 "Factual" "Real Life Events" "Live Action" "Documentario" "Not Rated" NA
"Wild Hogs 2007" 192.907731 2007 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "PG-13" NA
"Wicker Park 2004" 16.302342 2004 0 "Contemporary Fiction" "Remake" "Live Action" "Thriller/Suspense" "PG-13" 30
"Why We Fight 2006" 2.265653 2006 0 "Factual" "Real Life Events" "Live Action" "Documentario" "PG-13" NA
"Why Did I Get Married? 2007" 63.308681 2007 0 "Contemporary Fiction" "Play" "Live Action" "Commedia" "PG-13" NA
"Who s Your Caddy? 2007" 6.530245 2007 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "PG-13" NA
"Who Killed the Electric Car? 2006" 2.022341 2006 0 "Factual" "Real Life Events" "Live Action" "Documentario" "PG" NA
"White Oleander 2002" 22.198089 2002 0 "Contemporary Fiction" "Fiction Source" "Live Action" "Drammatico" "PG-13" 16
"White Noise 2005" 68.764506 2005 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Drammatico" "PG-13" 10
