        -1           0  1  2  3  4  5  6  7  8  9 10
1    Older   Adjective 11 13  8  6 14 11 13 13 10 11
2    Older    Counting  9  8  6  8 10  4  6  5  7  7
3    Older     Imagery 12 11 16 11  9 23 12 10 19 11
4    Older Intentional 10 19 14  5 10 11 14 15 11 11
5    Older     Rhyming  7  9  6  6  6 11  6  3  8  7
6  Younger   Adjective 14 11 18 14 13 22 17 16 12 11
7  Younger    Counting  8  6  4  6  7  6  5  7  9  7
8  Younger     Imagery 20 16 16 15 18 16 20 22 14 19
9  Younger Intentional 21 19 17 15 22 16 22 22 18 21
10 Younger     Rhyming 10  7  8 10  4  7 10  6  7  7
