"Anno" "Risultato" "Sesso" "Distanza"
"1" 1896 12 "M" 100
"5" 1900 11 "M" 100
"8" 1904 11 "M" 100
"11" 1906 11.2 "M" 100
"14" 1908 10.8 "M" 100
"17" 1912 10.8 "M" 100
"20" 1920 10.8 "M" 100
"23" 1924 10.6 "M" 100
"26" 1928 10.8 "M" 100
"29" 1932 10.3 "M" 100
"32" 1936 10.3 "M" 100
"35" 1948 10.3 "M" 100
"38" 1952 10.4 "M" 100
"41" 1956 10.5 "M" 100
"44" 1960 10.2 "M" 100
"47" 1964 10 "M" 100
"50" 1968 9.95 "M" 100
"53" 1972 10.14 "M" 100
"56" 1976 10.06 "M" 100
"59" 1980 10.25 "M" 100
"62" 1984 9.99 "M" 100
"65" 1988 9.92 "M" 100
"68" 1992 9.96 "M" 100
"71" 1996 9.84 "M" 100
"74" 2000 9.87 "M" 100
"77" 2004 9.85 "M" 100
"80" 2008 9.69 "M" 100
"83" 1928 12.2 "W" 100
"86" 1932 11.9 "W" 100
"89" 1936 11.5 "W" 100
"92" 1948 11.9 "W" 100
"95" 1952 11.5 "W" 100
"98" 1956 11.5 "W" 100
"101" 1960 11 "W" 100
"104" 1964 11.4 "W" 100
"107" 1968 11 "W" 100
"110" 1972 11.07 "W" 100
"113" 1976 11.08 "W" 100
"116" 1980 11.06 "W" 100
"119" 1984 10.97 "W" 100
"122" 1988 10.54 "W" 100
"125" 1992 10.82 "W" 100
"128" 1996 10.94 "W" 100
"131" 2000 11.12 "W" 100
"134" 2004 10.93 "W" 100
"137" 2008 10.78 "W" 100
"146" 1900 22.2 "M" 200
"149" 1904 21.6 "M" 200
"152" 1908 22.6 "M" 200
"155" 1912 21.7 "M" 200
"158" 1920 22 "M" 200
"161" 1924 21.6 "M" 200
"164" 1928 21.8 "M" 200
"167" 1932 21.2 "M" 200
"170" 1936 20.7 "M" 200
"173" 1948 21.1 "M" 200
"176" 1952 20.7 "M" 200
"179" 1956 20.6 "M" 200
"182" 1960 20.5 "M" 200
"185" 1964 20.3 "M" 200
"188" 1968 19.8 "M" 200
"191" 1972 20 "M" 200
"194" 1976 20.23 "M" 200
"197" 1980 20.19 "M" 200
"200" 1984 19.8 "M" 200
"203" 1988 19.75 "M" 200
"206" 1992 20.01 "M" 200
"209" 1996 19.32 "M" 200
"212" 2000 20.09 "M" 200
"215" 2004 19.79 "M" 200
"218" 2008 19.3 "M" 200
"227" 1948 24.4 "W" 200
"231" 1952 23.7 "W" 200
"234" 1956 23.4 "W" 200
"237" 1960 24 "W" 200
"240" 1964 23 "W" 200
"243" 1968 22.5 "W" 200
"246" 1972 22.4 "W" 200
"249" 1976 22.37 "W" 200
"252" 1980 22.03 "W" 200
"255" 1984 21.81 "W" 200
"258" 1988 21.34 "W" 200
"261" 1992 21.81 "W" 200
"264" 1996 22.12 "W" 200
"267" 2000 22.27 "W" 200
"270" 2004 22.05 "W" 200
"273" 2008 21.74 "W" 200
"276" 1912 1880.8 "M" 10000
"279" 1920 1905.8 "M" 10000
"282" 1924 1823.2 "M" 10000
"285" 1928 1818.8 "M" 10000
"288" 1932 1811.4 "M" 10000
"291" 1936 1815.4 "M" 10000
"294" 1948 1799.6 "M" 10000
"297" 1952 1757 "M" 10000
"300" 1956 1725.6 "M" 10000
"303" 1960 1712.2 "M" 10000
"306" 1964 1704.4 "M" 10000
"309" 1968 1767.4 "M" 10000
"312" 1972 1658.4 "M" 10000
"315" 1976 1660.38 "M" 10000
"318" 1980 1662.69 "M" 10000
"321" 1984 1667.54 "M" 10000
"324" 1988 1641.46 "M" 10000
"327" 1992 1666.7 "M" 10000
"330" 1996 1627.34 "M" 10000
"333" 2000 1638.2 "M" 10000
"336" 2004 1625.1 "M" 10000
"339" 2008 1621.17 "M" 10000
"348" 1988 1865.21 "W" 10000
"351" 1992 1866.02 "W" 10000
"354" 1996 1861.63 "W" 10000
"357" 2000 1817.49 "W" 10000
"360" 2004 1824.36 "W" 10000
"363" 2008 1794.66 "W" 10000
"366" 1896 54.2 "M" 400
"369" 1900 49.4 "M" 400
"372" 1904 49.2 "M" 400
"375" 1906 53.2 "M" 400
"378" 1908 50 "M" 400
"379" 1912 48.2 "M" 400
"382" 1920 49.6 "M" 400
"385" 1924 47.6 "M" 400
"388" 1928 47.8 "M" 400
"391" 1932 46.2 "M" 400
"394" 1936 46.5 "M" 400
"397" 1948 46.2 "M" 400
"400" 1952 45.9 "M" 400
"403" 1956 46.7 "M" 400
"407" 1960 44.9 "M" 400
"410" 1964 45.1 "M" 400
"413" 1968 43.8 "M" 400
"416" 1972 44.66 "M" 400
"419" 1976 44.26 "M" 400
"422" 1980 44.6 "M" 400
"425" 1984 44.27 "M" 400
"428" 1988 43.87 "M" 400
"431" 1992 43.5 "M" 400
"434" 1996 43.49 "M" 400
"437" 2000 43.84 "M" 400
"440" 2004 44 "M" 400
"443" 2008 43.75 "M" 400
"452" 1964 52 "W" 400
"455" 1968 52 "W" 400
"458" 1972 51.08 "W" 400
"461" 1976 49.29 "W" 400
"464" 1980 48.88 "W" 400
"467" 1984 48.83 "W" 400
"470" 1988 48.65 "W" 400
"473" 1992 48.83 "W" 400
"476" 1996 48.25 "W" 400
"479" 2000 49.11 "W" 400
"482" 2004 49.41 "W" 400
"485" 2008 49.62 "W" 400
"488" 1896 131 "M" 800
"491" 1900 121.2 "M" 800
"494" 1904 116 "M" 800
"497" 1906 121.5 "M" 800
"500" 1908 112.8 "M" 800
"503" 1912 111.9 "M" 800
"506" 1920 113.4 "M" 800
"509" 1924 112.4 "M" 800
"512" 1928 111.8 "M" 800
"515" 1932 109.7 "M" 800
"518" 1936 112.9 "M" 800
"521" 1948 109.2 "M" 800
"524" 1952 109.2 "M" 800
"527" 1956 107.7 "M" 800
"530" 1960 106.3 "M" 800
"533" 1964 105.1 "M" 800
"536" 1968 104.3 "M" 800
"539" 1972 105.9 "M" 800
"542" 1976 103.5 "M" 800
"545" 1980 105.4 "M" 800
"548" 1984 103 "M" 800
"551" 1988 103.45 "M" 800
"554" 1992 103.66 "M" 800
"557" 1996 102.58 "M" 800
"560" 2000 105.08 "M" 800
"563" 2004 104.45 "M" 800
"566" 2008 104.65 "M" 800
"575" 1928 136.8 "W" 800
"578" 1960 124.3 "W" 800
"581" 1964 121.1 "W" 800
"584" 1968 120.9 "W" 800
"587" 1972 118.6 "W" 800
"590" 1976 114.94 "W" 800
"593" 1980 113.43 "W" 800
"595" 1984 117.6 "W" 800
"598" 1988 116.1 "W" 800
"601" 1992 115.54 "W" 800
"604" 1996 117.73 "W" 800
"607" 2000 116.15 "W" 800
"610" 2004 116.38 "W" 800
"613" 2008 114.87 "W" 800
"616" 1896 273.2 "M" 1500
"619" 1900 246.2 "M" 1500
"622" 1904 245.4 "M" 1500
"625" 1906 252 "M" 1500
"628" 1908 243.4 "M" 1500
"631" 1912 236.8 "M" 1500
"634" 1920 241.8 "M" 1500
"637" 1924 233.6 "M" 1500
"640" 1928 233.2 "M" 1500
"643" 1932 231.2 "M" 1500
"646" 1936 227.8 "M" 1500
"649" 1948 229.8 "M" 1500
"652" 1952 225.1 "M" 1500
"655" 1956 221.2 "M" 1500
"658" 1960 215.6 "M" 1500
"661" 1964 218.1 "M" 1500
"664" 1968 214.9 "M" 1500
"667" 1972 216.3 "M" 1500
"670" 1976 219.17 "M" 1500
"673" 1980 218.4 "M" 1500
"676" 1984 212.53 "M" 1500
"679" 1988 215.96 "M" 1500
"682" 1992 220.12 "M" 1500
"685" 1996 215.78 "M" 1500
"688" 2000 212.07 "M" 1500
"691" 2004 214.18 "M" 1500
"694" 2008 212.94 "M" 1500
"697" 1972 241.4 "W" 1500
"700" 1976 245.48 "W" 1500
"703" 1980 236.56 "W" 1500
"706" 1984 243.25 "W" 1500
"709" 1988 233.96 "W" 1500
"712" 1992 235.3 "W" 1500
"715" 1996 240.83 "W" 1500
"718" 2000 245.1 "W" 1500
"721" 2004 237.9 "W" 1500
"724" 2008 240.23 "W" 1500
"733" 1912 876.6 "M" 5000
"736" 1920 895.6 "M" 5000
"739" 1924 871.2 "M" 5000
"742" 1928 878 "M" 5000
"745" 1932 870 "M" 5000
"748" 1936 862.2 "M" 5000
"751" 1948 857.6 "M" 5000
"754" 1952 846.6 "M" 5000
"757" 1956 819.6 "M" 5000
"760" 1960 823.4 "M" 5000
"763" 1964 828.8 "M" 5000
"766" 1968 845 "M" 5000
"769" 1972 806.4 "M" 5000
"772" 1976 804.76 "M" 5000
"775" 1980 800.91 "M" 5000
"778" 1984 785.59 "M" 5000
"781" 1988 791.7 "M" 5000
"784" 1992 792.52 "M" 5000
"787" 1996 787.96 "M" 5000
"790" 2000 815.49 "M" 5000
"793" 2004 794.39 "M" 5000
"796" 2008 777.82 "M" 5000
"799" 1996 899.88 "W" 5000
